is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
7022P_411491,Mooney Viscosity,54,
7022P_411491,Mooney Stress Relaxation,3.333,
7022P_411491,Styrene_Cont,21.0,
7022P_411491,Cis_Cont,13.5,
7022P_411491,Trans_Cont,15.5,
7022P_411491,Vinyl_Cont,49.9,
7022P_411491,Glass Transition Temperature,-24.8,
7022P_411491,Number Averaged Molecular Weight,279919,
7022P_411491,Weight Averaged Molecular Weight,322188,
7019P_411492,Mooney Viscosity,45,
7019P_411492,Mooney Stress Relaxation,1.145,
7019P_411492,Styrene_Cont,21.4,
7019P_411492,Cis_Cont,13.4,
7019P_411492,Trans_Cont,15.3,
7019P_411492,Vinyl_Cont,49.9,
7019P_411492,Glass Transition Temperature,-23.1,
7019P_411492,Number Averaged Molecular Weight,248386,
7019P_411492,Weight Averaged Molecular Weight,343234,
7022C_411493,Mooney Viscosity,49,
7022C_411493,Mooney Stress Relaxation,3.736,
7022C_411493,Styrene_Cont,20.9,
7022C_411493,Cis_Cont,13.4,
7022C_411493,Trans_Cont,15.2,
7022C_411493,Vinyl_Cont,50.5,
7022C_411493,Glass Transition Temperature,-23.9,
7022C_411493,Number Averaged Molecular Weight,170448,
7022C_411493,Weight Averaged Molecular Weight,207974,
7022E_411494,Mooney Viscosity,43,
7022E_411494,Mooney Stress Relaxation,1.265,
7022E_411494,Styrene_Cont,21.0,
7022E_411494,Cis_Cont,13.9,
7022E_411494,Trans_Cont,16.6,
7022E_411494,Vinyl_Cont,48.5,
7022E_411494,Glass Transition Temperature,-26.9,
7022E_411494,Number Averaged Molecular Weight,235005,
7022E_411494,Weight Averaged Molecular Weight,330549,
7022G_411495,Mooney Viscosity,70,
7022G_411495,Mooney Stress Relaxation,1.737,
7022G_411495,Styrene_Cont,21.0,
7022G_411495,Cis_Cont,13.7,
7022G_411495,Trans_Cont,16.0,
7022G_411495,Vinyl_Cont,49.3,
7022G_411495,Glass Transition Temperature,-24.6,
7022G_411495,Number Averaged Molecular Weight,256111,
7022G_411495,Weight Averaged Molecular Weight,288496,
7022S_411496,Mooney Viscosity,80,
7022S_411496,Mooney Stress Relaxation,0.905,
7022S_411496,Styrene_Cont,20.7,
7022S_411496,Cis_Cont,13.9,
7022S_411496,Trans_Cont,16.5,
7022S_411496,Vinyl_Cont,49.0,
7022S_411496,Glass Transition Temperature,-25.8,
7022S_411496,Number Averaged Molecular Weight,373294,
7022S_411496,Weight Averaged Molecular Weight,709747,
7024C_411497,Mooney Viscosity,55,
7024C_411497,Mooney Stress Relaxation,1.486,
7024C_411497,Styrene_Cont,21.2,
7024C_411497,Cis_Cont,13.4,
7024C_411497,Trans_Cont,15.6,
7024C_411497,Vinyl_Cont,49.8,
7024C_411497,Glass Transition Temperature,-24.5,
7024C_411497,Number Averaged Molecular Weight,262614,
7024C_411497,Weight Averaged Molecular Weight,306048,
7022P_411511,Mooney Viscosity,54,
7022P_411511,Mooney Stress Relaxation,3.333,
7022P_411511,Styrene_Cont,21.0,
7022P_411511,Cis_Cont,13.5,
7022P_411511,Trans_Cont,15.5,
7022P_411511,Vinyl_Cont,49.9,
7022P_411511,Glass Transition Temperature,-24.8,
7022P_411511,Number Averaged Molecular Weight,279919,
7022P_411511,Weight Averaged Molecular Weight,322188,
7019P_411512,Mooney Viscosity,45,
7019P_411512,Mooney Stress Relaxation,1.145,
7019P_411512,Styrene_Cont,21.4,
7019P_411512,Cis_Cont,13.4,
7019P_411512,Trans_Cont,15.3,
7019P_411512,Vinyl_Cont,49.9,
7019P_411512,Glass Transition Temperature,-23.1,
7019P_411512,Number Averaged Molecular Weight,248386,
7019P_411512,Weight Averaged Molecular Weight,343234,
7022C_411513,Mooney Viscosity,49,
7022C_411513,Mooney Stress Relaxation,3.736,
7022C_411513,Styrene_Cont,20.9,
7022C_411513,Cis_Cont,13.4,
7022C_411513,Trans_Cont,15.2,
7022C_411513,Vinyl_Cont,50.5,
7022C_411513,Glass Transition Temperature,-23.9,
7022C_411513,Number Averaged Molecular Weight,170448,
7022C_411513,Weight Averaged Molecular Weight,207974,
7022E_411514,Mooney Viscosity,43,
7022E_411514,Mooney Stress Relaxation,1.265,
7022E_411514,Styrene_Cont,21.0,
7022E_411514,Cis_Cont,13.9,
7022E_411514,Trans_Cont,16.6,
7022E_411514,Vinyl_Cont,48.5,
7022E_411514,Glass Transition Temperature,-26.9,
7022E_411514,Number Averaged Molecular Weight,235005,
7022E_411514,Weight Averaged Molecular Weight,330549,
7022G_411515,Mooney Viscosity,70,
7022G_411515,Mooney Stress Relaxation,1.737,
7022G_411515,Styrene_Cont,21.0,
7022G_411515,Cis_Cont,13.7,
7022G_411515,Trans_Cont,16.0,
7022G_411515,Vinyl_Cont,49.3,
7022G_411515,Glass Transition Temperature,-24.6,
7022G_411515,Number Averaged Molecular Weight,256111,
7022G_411515,Weight Averaged Molecular Weight,288496,
7022S_411516,Mooney Viscosity,80,
7022S_411516,Mooney Stress Relaxation,0.905,
7022S_411516,Styrene_Cont,20.7,
7022S_411516,Cis_Cont,13.9,
7022S_411516,Trans_Cont,16.5,
7022S_411516,Vinyl_Cont,49.0,
7022S_411516,Glass Transition Temperature,-25.8,
7022S_411516,Number Averaged Molecular Weight,373294,
7022S_411516,Weight Averaged Molecular Weight,709747,
7024C_411517,Mooney Viscosity,55,
7024C_411517,Mooney Stress Relaxation,1.486,
7024C_411517,Styrene_Cont,21.2,
7024C_411517,Cis_Cont,13.4,
7024C_411517,Trans_Cont,15.6,
7024C_411517,Vinyl_Cont,49.8,
7024C_411517,Glass Transition Temperature,-24.5,
7024C_411517,Number Averaged Molecular Weight,262614,
7024C_411517,Weight Averaged Molecular Weight,306048,
7022P_411531,Mooney Viscosity,54,
7022P_411531,Mooney Stress Relaxation,3.333,
7022P_411531,Styrene_Cont,21.0,
7022P_411531,Cis_Cont,13.5,
7022P_411531,Trans_Cont,15.5,
7022P_411531,Vinyl_Cont,49.9,
7022P_411531,Glass Transition Temperature,-24.8,
7022P_411531,Number Averaged Molecular Weight,279919,
7022P_411531,Weight Averaged Molecular Weight,322188,
7019U_411532,Mooney Viscosity,44,
7019U_411532,Mooney Stress Relaxation,1.279,
7019U_411532,Styrene_Cont,21.2,
7019U_411532,Cis_Cont,13.2,
7019U_411532,Trans_Cont,15.4,
7019U_411532,Vinyl_Cont,50.3,
7019U_411532,Glass Transition Temperature,-23.8,
7019U_411532,Number Averaged Molecular Weight,253128,
7019U_411532,Weight Averaged Molecular Weight,343727,
7019X_411533,Mooney Viscosity,49,
7019X_411533,Mooney Stress Relaxation,4.169,
7019X_411533,Styrene_Cont,21.4,
7019X_411533,Cis_Cont,13.4,
7019X_411533,Trans_Cont,15.4,
7019X_411533,Vinyl_Cont,49.8,
7019X_411533,Glass Transition Temperature,-22.6,
7019X_411533,Number Averaged Molecular Weight,166409,
7019X_411533,Weight Averaged Molecular Weight,205170,
7022D_411534,Mooney Viscosity,57,
7022D_411534,Mooney Stress Relaxation,1.191,
7022D_411534,Styrene_Cont,21.0,
7022D_411534,Cis_Cont,13.4,
7022D_411534,Trans_Cont,15.6,
7022D_411534,Vinyl_Cont,50.0,
7022D_411534,Glass Transition Temperature,-25.0,
7022D_411534,Number Averaged Molecular Weight,258386,
7022D_411534,Weight Averaged Molecular Weight,378848,
7022H_411535,Mooney Viscosity,74,
7022H_411535,Mooney Stress Relaxation,1.729,
7022H_411535,Styrene_Cont,20.9,
7022H_411535,Cis_Cont,13.6,
7022H_411535,Trans_Cont,15.9,
7022H_411535,Vinyl_Cont,49.5,
7022H_411535,Glass Transition Temperature,-22.7,
7022H_411535,Number Averaged Molecular Weight,266045,
7022H_411535,Weight Averaged Molecular Weight,300674,
7024D_411536,Mooney Viscosity,75,
7024D_411536,Mooney Stress Relaxation,1.061,
7024D_411536,Styrene_Cont,20.9,
7024D_411536,Cis_Cont,14.3,
7024D_411536,Trans_Cont,16.0,
7024D_411536,Vinyl_Cont,48.8,
7024D_411536,Glass Transition Temperature,-24.3,
7024D_411536,Number Averaged Molecular Weight,415630,
7024D_411536,Weight Averaged Molecular Weight,878098,
7024A_411537,Mooney Viscosity,64,
7024A_411537,Mooney Stress Relaxation,1.763,
7024A_411537,Styrene_Cont,21.2,
7024A_411537,Cis_Cont,13.3,
7024A_411537,Trans_Cont,14.9,
7024A_411537,Vinyl_Cont,50.6,
7024A_411537,Glass Transition Temperature,-25.4,
7024A_411537,Number Averaged Molecular Weight,283734,
7024A_411537,Weight Averaged Molecular Weight,323588,
7022P_411551,Mooney Viscosity,54,
7022P_411551,Mooney Stress Relaxation,3.333,
7022P_411551,Styrene_Cont,21.0,
7022P_411551,Cis_Cont,13.5,
7022P_411551,Trans_Cont,15.5,
7022P_411551,Vinyl_Cont,49.9,
7022P_411551,Glass Transition Temperature,-24.8,
7022P_411551,Number Averaged Molecular Weight,279919,
7022P_411551,Weight Averaged Molecular Weight,322188,
7019U_411552,Mooney Viscosity,44,
7019U_411552,Mooney Stress Relaxation,1.279,
7019U_411552,Styrene_Cont,21.2,
7019U_411552,Cis_Cont,13.2,
7019U_411552,Trans_Cont,15.4,
7019U_411552,Vinyl_Cont,50.3,
7019U_411552,Glass Transition Temperature,-23.8,
7019U_411552,Number Averaged Molecular Weight,253128,
7019U_411552,Weight Averaged Molecular Weight,343727,
7019X_411553,Mooney Viscosity,49,
7019X_411553,Mooney Stress Relaxation,4.169,
7019X_411553,Styrene_Cont,21.4,
7019X_411553,Cis_Cont,13.4,
7019X_411553,Trans_Cont,15.4,
7019X_411553,Vinyl_Cont,49.8,
7019X_411553,Glass Transition Temperature,-22.6,
7019X_411553,Number Averaged Molecular Weight,166409,
7019X_411553,Weight Averaged Molecular Weight,205170,
7022D_411554,Mooney Viscosity,57,
7022D_411554,Mooney Stress Relaxation,1.191,
7022D_411554,Styrene_Cont,21.0,
7022D_411554,Cis_Cont,13.4,
7022D_411554,Trans_Cont,15.6,
7022D_411554,Vinyl_Cont,50.0,
7022D_411554,Glass Transition Temperature,-25.0,
7022D_411554,Number Averaged Molecular Weight,258386,
7022D_411554,Weight Averaged Molecular Weight,378848,
7022H_411555,Mooney Viscosity,74,
7022H_411555,Mooney Stress Relaxation,1.729,
7022H_411555,Styrene_Cont,20.9,
7022H_411555,Cis_Cont,13.6,
7022H_411555,Trans_Cont,15.9,
7022H_411555,Vinyl_Cont,49.5,
7022H_411555,Glass Transition Temperature,-22.7,
7022H_411555,Number Averaged Molecular Weight,266045,
7022H_411555,Weight Averaged Molecular Weight,300674,
7024D_411556,Mooney Viscosity,75,
7024D_411556,Mooney Stress Relaxation,1.061,
7024D_411556,Styrene_Cont,20.9,
7024D_411556,Cis_Cont,14.3,
7024D_411556,Trans_Cont,16.0,
7024D_411556,Vinyl_Cont,48.8,
7024D_411556,Glass Transition Temperature,-24.3,
7024D_411556,Number Averaged Molecular Weight,415630,
7024D_411556,Weight Averaged Molecular Weight,878098,
7024A_411557,Mooney Viscosity,64,
7024A_411557,Mooney Stress Relaxation,1.763,
7024A_411557,Styrene_Cont,21.2,
7024A_411557,Cis_Cont,13.3,
7024A_411557,Trans_Cont,14.9,
7024A_411557,Vinyl_Cont,50.6,
7024A_411557,Glass Transition Temperature,-25.4,
7024A_411557,Number Averaged Molecular Weight,283734,
7024A_411557,Weight Averaged Molecular Weight,323588,
7032E_418512,Mooney Viscosity,48,
7032E_418512,Mooney Stress Relaxation,1.234,
7032E_418512,Styrene_Cont,11.2,
7032E_418512,Cis_Cont,24.0,
7032E_418512,Trans_Cont,33.4,
7032E_418512,Vinyl_Cont,31.4,
7032E_418512,Glass Transition Temperature,-60.9,
7032E_418512,Number Averaged Molecular Weight,232637,
7032E_418512,Weight Averaged Molecular Weight,438842,
7032E_418513,Mooney Viscosity,76,
7032E_418513,Mooney Stress Relaxation,0.851,
7032E_418513,Styrene_Cont,11.2,
7032E_418513,Cis_Cont,24.0,
7032E_418513,Trans_Cont,33.4,
7032E_418513,Vinyl_Cont,31.4,
7032E_418513,Glass Transition Temperature,-59.1,
7032E_418513,Number Averaged Molecular Weight,296765,
7032E_418513,Weight Averaged Molecular Weight,581980,
7032E_418514,Mooney Viscosity,78,
7032E_418514,Mooney Stress Relaxation,0.906,
7032E_418514,Styrene_Cont,11.2,
7032E_418514,Cis_Cont,24.0,
7032E_418514,Trans_Cont,33.4,
7032E_418514,Vinyl_Cont,31.4,
7032E_418514,Glass Transition Temperature,-60.4,
7032E_418514,Number Averaged Molecular Weight,262706,
7032E_418514,Weight Averaged Molecular Weight,532078,
7021G_418516,Mooney Viscosity,79,
7021G_418516,Mooney Stress Relaxation,1.034,
7021G_418516,Styrene_Cont,10.6,
7021G_418516,Cis_Cont,24.3,
7021G_418516,Trans_Cont,33.4,
7021G_418516,Vinyl_Cont,31.6,
7021G_418516,Glass Transition Temperature,-61.4,
7021G_418516,Number Averaged Molecular Weight,294884,
7021G_418516,Weight Averaged Molecular Weight,462943,
7021H_418517,Mooney Viscosity,73,
7021H_418517,Mooney Stress Relaxation,0.813,
7021H_418517,Styrene_Cont,10.5,
7021H_418517,Cis_Cont,25.0,
7021H_418517,Trans_Cont,34.0,
7021H_418517,Vinyl_Cont,30.5,
7021H_418517,Glass Transition Temperature,-63.5,
7021H_418517,Number Averaged Molecular Weight,357981,
7021H_418517,Weight Averaged Molecular Weight,565682,
7032F_418534,Mooney Viscosity,57,
7032F_418534,Mooney Stress Relaxation,1.263,
7032F_418534,Styrene_Cont,11.0,
7032F_418534,Cis_Cont,23.8,
7032F_418534,Trans_Cont,33.0,
7032F_418534,Vinyl_Cont,32.2,
7032F_418534,Glass Transition Temperature,-60.4,
7032F_418534,Number Averaged Molecular Weight,249634,
7032F_418534,Weight Averaged Molecular Weight,466838,
7032F_418535,Mooney Viscosity,91,
7032F_418535,Mooney Stress Relaxation,0.769,
7032F_418535,Styrene_Cont,11.0,
7032F_418535,Cis_Cont,23.8,
7032F_418535,Trans_Cont,33.0,
7032F_418535,Vinyl_Cont,32.2,
7032F_418535,Glass Transition Temperature,-59.7,
7032F_418535,Number Averaged Molecular Weight,314461,
7032F_418535,Weight Averaged Molecular Weight,6585011,
7032F_418536,Mooney Viscosity,111,
7032F_418536,Mooney Stress Relaxation,0.728,
7032F_418536,Styrene_Cont,11.0,
7032F_418536,Cis_Cont,23.8,
7032F_418536,Trans_Cont,33.0,
7032F_418536,Vinyl_Cont,32.2,
7032F_418536,Glass Transition Temperature,-61.1,
7032F_418536,Number Averaged Molecular Weight,325311,
7032F_418536,Weight Averaged Molecular Weight,667608,
7032N_427776,Mooney Viscosity,94,
7032N_427776,Mooney Stress Relaxation,0.873,
7032N_427776,Styrene_Cont,11.3,
7032N_427776,Cis_Cont,25.7,
7032N_427776,Trans_Cont,33.4,
7032N_427776,Vinyl_Cont,29.6,
7032N_427776,Glass Transition Temperature,-60.1,
7032N_427776,Number Averaged Molecular Weight,280000,
7032N_427776,Weight Averaged Molecular Weight,451000,
7032O_427777,Mooney Viscosity,76,
7032O_427777,Mooney Stress Relaxation,0.94,
7032O_427777,Styrene_Cont,11.4,
7032O_427777,Cis_Cont,26.0,
7032O_427777,Trans_Cont,33.0,
7032O_427777,Vinyl_Cont,29.6,
7032O_427777,Glass Transition Temperature,-59.7,
7032O_427777,Number Averaged Molecular Weight,240000,
7032O_427777,Weight Averaged Molecular Weight,320000,
7039Z_428661,Mooney Viscosity,59,
7039Z_428661,Mooney Stress Relaxation,2.389,
7039Z_428661,Styrene_Cont,20.2,
7039Z_428661,Cis_Cont,13.8,
7039Z_428661,Trans_Cont,16.2,
7039Z_428661,Vinyl_Cont,49.8,
7039Z_428661,Glass Transition Temperature,-24.6,
7039Z_428661,Number Averaged Molecular Weight,292879,
7039Z_428661,Weight Averaged Molecular Weight,338836,
7039M_428662,Mooney Viscosity,76,
7039M_428662,Mooney Stress Relaxation,1.631,
7039M_428662,Styrene_Cont,21.2,
7039M_428662,Cis_Cont,13.5,
7039M_428662,Trans_Cont,16.4,
7039M_428662,Vinyl_Cont,48.9,
7039M_428662,Glass Transition Temperature,-24.1,
7039M_428662,Number Averaged Molecular Weight,262852,
7039M_428662,Weight Averaged Molecular Weight,317948,
7039O_428663,Mooney Viscosity,86,
7039O_428663,Mooney Stress Relaxation,1.045,
7039O_428663,Styrene_Cont,21.2,
7039O_428663,Cis_Cont,13.0,
7039O_428663,Trans_Cont,15.7,
7039O_428663,Vinyl_Cont,50.1,
7039O_428663,Glass Transition Temperature,-23.0,
7039O_428663,Number Averaged Molecular Weight,258623,
7039O_428663,Weight Averaged Molecular Weight,538669,
7039P_428664,Mooney Viscosity,95,
7039P_428664,Mooney Stress Relaxation,0.95,
7039P_428664,Styrene_Cont,20.8,
7039P_428664,Cis_Cont,13.6,
7039P_428664,Trans_Cont,15.8,
7039P_428664,Vinyl_Cont,49.8,
7039P_428664,Glass Transition Temperature,-23.2,
7039P_428664,Number Averaged Molecular Weight,314526,
7039P_428664,Weight Averaged Molecular Weight,563211,
7039Z_428665,Mooney Viscosity,59,
7039Z_428665,Mooney Stress Relaxation,2.389,
7039Z_428665,Styrene_Cont,20.2,
7039Z_428665,Cis_Cont,13.8,
7039Z_428665,Trans_Cont,16.2,
7039Z_428665,Vinyl_Cont,49.8,
7039Z_428665,Glass Transition Temperature,-24.6,
7039Z_428665,Number Averaged Molecular Weight,292879,
7039Z_428665,Weight Averaged Molecular Weight,338836,
7039S_428666,Mooney Viscosity,86,
7039S_428666,Mooney Stress Relaxation,1.217,
7039S_428666,Styrene_Cont,20.6,
7039S_428666,Cis_Cont,13.6,
7039S_428666,Trans_Cont,15.9,
7039S_428666,Vinyl_Cont,49.8,
7039S_428666,Glass Transition Temperature,-21.5,
7039S_428666,Number Averaged Molecular Weight,258134,
7039S_428666,Weight Averaged Molecular Weight,501509,
7039V_428667,Mooney Viscosity,77,
7039V_428667,Mooney Stress Relaxation,1.573,
7039V_428667,Styrene_Cont,20.7,
7039V_428667,Cis_Cont,13.3,
7039V_428667,Trans_Cont,15.3,
7039V_428667,Vinyl_Cont,50.6,
7039V_428667,Glass Transition Temperature,-23.0,
7039V_428667,Number Averaged Molecular Weight,241818,
7039V_428667,Weight Averaged Molecular Weight,338800,
7039T_428668,Mooney Viscosity,89,
7039T_428668,Mooney Stress Relaxation,1.144,
7039T_428668,Styrene_Cont,21.1,
7039T_428668,Cis_Cont,13.4,
7039T_428668,Trans_Cont,15.5,
7039T_428668,Vinyl_Cont,50.1,
7039T_428668,Glass Transition Temperature,-22.6,
7039T_428668,Number Averaged Molecular Weight,318257,
7039T_428668,Weight Averaged Molecular Weight,555726,
7039Z_431271,Mooney Viscosity,59,
7039Z_431271,Mooney Stress Relaxation,2.389,
7039Z_431271,Styrene_Cont,20.2,
7039Z_431271,Cis_Cont,13.8,
7039Z_431271,Trans_Cont,16.2,
7039Z_431271,Vinyl_Cont,49.8,
7039Z_431271,Glass Transition Temperature,-24.6,
7039Z_431271,Number Averaged Molecular Weight,292879,
7039Z_431271,Weight Averaged Molecular Weight,338836,
7039M_431272,Mooney Viscosity,76,
7039M_431272,Mooney Stress Relaxation,1.631,
7039M_431272,Styrene_Cont,21.2,
7039M_431272,Cis_Cont,13.5,
7039M_431272,Trans_Cont,16.4,
7039M_431272,Vinyl_Cont,48.9,
7039M_431272,Glass Transition Temperature,-24.1,
7039M_431272,Number Averaged Molecular Weight,262852,
7039M_431272,Weight Averaged Molecular Weight,317948,
7039O_431273,Mooney Viscosity,86,
7039O_431273,Mooney Stress Relaxation,1.045,
7039O_431273,Styrene_Cont,21.2,
7039O_431273,Cis_Cont,13.0,
7039O_431273,Trans_Cont,15.7,
7039O_431273,Vinyl_Cont,50.1,
7039O_431273,Glass Transition Temperature,-23.0,
7039O_431273,Number Averaged Molecular Weight,258623,
7039O_431273,Weight Averaged Molecular Weight,538669,
7039P_431274,Mooney Viscosity,95,
7039P_431274,Mooney Stress Relaxation,0.95,
7039P_431274,Styrene_Cont,20.8,
7039P_431274,Cis_Cont,13.6,
7039P_431274,Trans_Cont,15.8,
7039P_431274,Vinyl_Cont,49.8,
7039P_431274,Glass Transition Temperature,-23.2,
7039P_431274,Number Averaged Molecular Weight,314526,
7039P_431274,Weight Averaged Molecular Weight,563211,
7039Z_431275,Mooney Viscosity,59,
7039Z_431275,Mooney Stress Relaxation,2.389,
7039Z_431275,Styrene_Cont,20.2,
7039Z_431275,Cis_Cont,13.8,
7039Z_431275,Trans_Cont,16.2,
7039Z_431275,Vinyl_Cont,49.8,
7039Z_431275,Glass Transition Temperature,-24.6,
7039Z_431275,Number Averaged Molecular Weight,292879,
7039Z_431275,Weight Averaged Molecular Weight,338836,
7039T_431276,Mooney Viscosity,89,
7039T_431276,Mooney Stress Relaxation,1.144,
7039T_431276,Styrene_Cont,21.1,
7039T_431276,Cis_Cont,13.4,
7039T_431276,Trans_Cont,15.5,
7039T_431276,Vinyl_Cont,50.1,
7039T_431276,Glass Transition Temperature,-22.6,
7039T_431276,Number Averaged Molecular Weight,318257,
7039T_431276,Weight Averaged Molecular Weight,555726,
7039S_431277,Mooney Viscosity,86,
7039S_431277,Mooney Stress Relaxation,1.217,
7039S_431277,Styrene_Cont,20.6,
7039S_431277,Cis_Cont,13.6,
7039S_431277,Trans_Cont,15.9,
7039S_431277,Vinyl_Cont,49.8,
7039S_431277,Glass Transition Temperature,-21.5,
7039S_431277,Number Averaged Molecular Weight,258134,
7039S_431277,Weight Averaged Molecular Weight,501509,
7039V_431278,Mooney Viscosity,77,
7039V_431278,Mooney Stress Relaxation,1.573,
7039V_431278,Styrene_Cont,20.7,
7039V_431278,Cis_Cont,13.3,
7039V_431278,Trans_Cont,15.3,
7039V_431278,Vinyl_Cont,50.6,
7039V_431278,Glass Transition Temperature,-23.0,
7039V_431278,Number Averaged Molecular Weight,241818,
7039V_431278,Weight Averaged Molecular Weight,338800,
7045X_432251,Mooney Viscosity,62,
7045X_432251,Mooney Stress Relaxation,1.768,
7045X_432251,Styrene_Cont,0.0,
7045X_432251,Cis_Cont,0.0,
7045X_432251,Trans_Cont,0.0,
7045X_432251,Vinyl_Cont,0.0,
7045X_432251,Glass Transition Temperature,-24.3,
7045X_432251,Number Averaged Molecular Weight,274287,
7045X_432251,Weight Averaged Molecular Weight,345253,
7046C_432252,Mooney Viscosity,71,
7046C_432252,Mooney Stress Relaxation,1.656,
7046C_432252,Styrene_Cont,0.0,
7046C_432252,Cis_Cont,0.0,
7046C_432252,Trans_Cont,0.0,
7046C_432252,Vinyl_Cont,0.0,
7046C_432252,Glass Transition Temperature,-24.7,
7046C_432252,Number Averaged Molecular Weight,254913,
7046C_432252,Weight Averaged Molecular Weight,318306,
7046A_432253,Mooney Viscosity,76,
7046A_432253,Mooney Stress Relaxation,1.461,
7046A_432253,Styrene_Cont,0.0,
7046A_432253,Cis_Cont,0.0,
7046A_432253,Trans_Cont,0.0,
7046A_432253,Vinyl_Cont,0.0,
7046A_432253,Glass Transition Temperature,-22.5,
7046A_432253,Number Averaged Molecular Weight,266918,
7046A_432253,Weight Averaged Molecular Weight,318493,
7046B_432254,Mooney Viscosity,76,
7046B_432254,Mooney Stress Relaxation,1.428,
7046B_432254,Styrene_Cont,0.0,
7046B_432254,Cis_Cont,0.0,
7046B_432254,Trans_Cont,0.0,
7046B_432254,Vinyl_Cont,0.0,
7046B_432254,Glass Transition Temperature,-23.4,
7046B_432254,Number Averaged Molecular Weight,262490,
7046B_432254,Weight Averaged Molecular Weight,323590,
7045X_432255,Mooney Viscosity,62,
7045X_432255,Mooney Stress Relaxation,1.768,
7045X_432255,Styrene_Cont,0.0,
7045X_432255,Cis_Cont,0.0,
7045X_432255,Trans_Cont,0.0,
7045X_432255,Vinyl_Cont,0.0,
7045X_432255,Glass Transition Temperature,-24.3,
7045X_432255,Number Averaged Molecular Weight,274287,
7045X_432255,Weight Averaged Molecular Weight,345253,
7046B_432256,Mooney Viscosity,76,
7046B_432256,Mooney Stress Relaxation,1.428,
7046B_432256,Styrene_Cont,0.0,
7046B_432256,Cis_Cont,0.0,
7046B_432256,Trans_Cont,0.0,
7046B_432256,Vinyl_Cont,0.0,
7046B_432256,Glass Transition Temperature,-23.4,
7046B_432256,Number Averaged Molecular Weight,262490,
7046B_432256,Weight Averaged Molecular Weight,323590,
7046A_432257,Mooney Viscosity,76,
7046A_432257,Mooney Stress Relaxation,1.461,
7046A_432257,Styrene_Cont,0.0,
7046A_432257,Cis_Cont,0.0,
7046A_432257,Trans_Cont,0.0,
7046A_432257,Vinyl_Cont,0.0,
7046A_432257,Glass Transition Temperature,-22.5,
7046A_432257,Number Averaged Molecular Weight,266918,
7046A_432257,Weight Averaged Molecular Weight,318493,
7046C_432258,Mooney Viscosity,71,
7046C_432258,Mooney Stress Relaxation,1.656,
7046C_432258,Styrene_Cont,0.0,
7046C_432258,Cis_Cont,0.0,
7046C_432258,Trans_Cont,0.0,
7046C_432258,Vinyl_Cont,0.0,
7046C_432258,Glass Transition Temperature,-24.7,
7046C_432258,Number Averaged Molecular Weight,254913,
7046C_432258,Weight Averaged Molecular Weight,318306,
7042O_432581,Mooney Viscosity,58,
7042O_432581,Mooney Stress Relaxation,1.215,
7042O_432581,Styrene_Cont,20.6,
7042O_432581,Cis_Cont,13.4,
7042O_432581,Trans_Cont,15.2,
7042O_432581,Vinyl_Cont,50.8,
7042O_432581,Glass Transition Temperature,-22.4,
7042O_432581,Number Averaged Molecular Weight,243990,
7042O_432581,Weight Averaged Molecular Weight,401726,
7044B_432582,Mooney Viscosity,50,
7044B_432582,Mooney Stress Relaxation,3.209,
7044B_432582,Styrene_Cont,21.1,
7044B_432582,Cis_Cont,13.3,
7044B_432582,Trans_Cont,15.3,
7044B_432582,Vinyl_Cont,50.2,
7044B_432582,Glass Transition Temperature,-21.2,
7044B_432582,Number Averaged Molecular Weight,233277,
7044B_432582,Weight Averaged Molecular Weight,319130,
7044D_432583,Mooney Viscosity,91,
7044D_432583,Mooney Stress Relaxation,1.212,
7044D_432583,Styrene_Cont,21.2,
7044D_432583,Cis_Cont,13.1,
7044D_432583,Trans_Cont,14.7,
7044D_432583,Vinyl_Cont,51.0,
7044D_432583,Glass Transition Temperature,-21.9,
7044D_432583,Number Averaged Molecular Weight,263149,
7044D_432583,Weight Averaged Molecular Weight,366481,
7044C_432584,Mooney Viscosity,79,
7044C_432584,Mooney Stress Relaxation,1.423,
7044C_432584,Styrene_Cont,21.1,
7044C_432584,Cis_Cont,13.4,
7044C_432584,Trans_Cont,15.4,
7044C_432584,Vinyl_Cont,50.1,
7044C_432584,Glass Transition Temperature,-22.9,
7044C_432584,Number Averaged Molecular Weight,243222,
7044C_432584,Weight Averaged Molecular Weight,329900,
7042O_432585,Mooney Viscosity,58,
7042O_432585,Mooney Stress Relaxation,1.215,
7042O_432585,Styrene_Cont,20.6,
7042O_432585,Cis_Cont,13.4,
7042O_432585,Trans_Cont,15.2,
7042O_432585,Vinyl_Cont,50.8,
7042O_432585,Glass Transition Temperature,-22.4,
7042O_432585,Number Averaged Molecular Weight,243990,
7042O_432585,Weight Averaged Molecular Weight,401726,
7039W_432586,Mooney Viscosity,59,
7039W_432586,Mooney Stress Relaxation,3.006,
7039W_432586,Styrene_Cont,20.9,
7039W_432586,Cis_Cont,13.2,
7039W_432586,Trans_Cont,15.1,
7039W_432586,Vinyl_Cont,50.8,
7039W_432586,Glass Transition Temperature,-21.4,
7039W_432586,Number Averaged Molecular Weight,241497,
7039W_432586,Weight Averaged Molecular Weight,341600,
7044A_432587,Mooney Viscosity,70,
7044A_432587,Mooney Stress Relaxation,1.173,
7044A_432587,Styrene_Cont,21.0,
7044A_432587,Cis_Cont,13.5,
7044A_432587,Trans_Cont,15.8,
